מזהה,שם המוצר / שובר,ספק / מותג,קטגוריה,מחיר בהצדעה ₪,מחיר מקורי ₪,אחוז חיסכון %,תגיות מבצע,מיקום / משלוח,תוקף המבצע,הגבלת רכישה,רשת מקושרת,קישור למוצר
184164,כרית קונטור מבית כיתן,כיתן,טקסטיל והלבשה,159.0,159.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,כיתן,https://www.behatsdaa.org.il/category/productPage/184164
151263,"שמיכה 300 גרם למ""ר מלון ריץ קרלטון Cotton Club",בהצדעה,טקסטיל והלבשה,69.0,129.0,47%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/151263
184503,מארז 5/6 מגבות קיטה 100% כותנה מבית ערד טקסטיל,ערד טקסטיל,טקסטיל והלבשה,27.0,149.0,82%,טקסטיל והלבשה,מגוון סניפים,,,ערד טקסטיל,https://www.behatsdaa.org.il/category/productPage/184503
182319,מארז 3 חולצות Columbia COTTON STR CRW T,בהצדעה,טקסטיל והלבשה,149.0,149.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/182319
184690,סט מצעי 100% כותנה במגוון דגמים לחג מבית כיתן,כיתן,טקסטיל והלבשה,159.0,329.0,52%,טקסטיל והלבשה,כולל משלוח עד הבית,,,כיתן,https://www.behatsdaa.org.il/category/productPage/184690
184302,מארז מגבות הידרו בית מלון ריץ קרלטון Cotton Club,בהצדעה,טקסטיל והלבשה,27.0,149.0,82%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/184302
142636,חלוק ורדינון 100% כותנה דגם סטייל,בהצדעה,טקסטיל והלבשה,89.0,89.0,0%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/142636
125027,מארז 4 מגבות 100% כותנה דגם 'קלאסיקו' - ורדינון,מארז 4 מגבות 100% כותנה דגם 'קלאסיקו',טקסטיל והלבשה,89.0,89.0,0%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/125027
59769,מזרן זוגי iDream Comfort מבית ד״ר גב,בהצדעה,מרהטים את הבית,2090.0,3040.0,31%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/59769
149868,שידת לילה ראמוס דגם 'צאלה',בהצדעה,מרהטים את הבית,109.0,125.0,13%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/149868
177514,כיסא גיימרים אורטופדי במגוון צבעים מותג Swiss Sky,בהצדעה,מרהטים את הבית,189.0,248.0,24%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/177514
149556,כיסא משרדי EXTRA COMFORT XL מבית ד״ר גב,בהצדעה,מרהטים את הבית,619.0,619.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/149556
174929,מזרן ילדים דגם AERO KIDS מבית Aeroflex,Aeroflex,מרהטים את הבית,94.0,1490.0,94%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/174929
175336,כוננית מתכת מחוזק 5 מדפים ARPO,בהצדעה,מרהטים את הבית,99.0,99.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/175336
169408,"מיטת נוער מתכווננת U LIKE מבית ד""ר גב",בהצדעה,מרהטים את הבית,3390.0,3790.0,11%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/169408
182431,זוג שולחנות סלון עגולים דמוי שיש - צבעים לבחירה,זוג שולחנות סלון עגולים דמוי שיש,מרהטים את הבית,179.0,179.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/182431
151370,מערכת ישיבה לגינה 'ג'ולי' PLAYA,בהצדעה,מרהטים את הבית,539.0,539.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/151370
176078,מזרן 160/200 TEMPUR PRO מבית Hollandia,Hollandia,מרהטים את הבית,5879.0,5879.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/176078
63812,כורסת עיסוי דגם 'סטאר' מעור בונדר לדר KD-7209,כורסת עיסוי דגם 'סטאר' מעור בונדר לדר KD,מרהטים את הבית,799.0,799.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/63812
159162,כיסא משרדי SELECT מבית ד״ר גב,בהצדעה,מרהטים את הבית,529.0,529.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/159162
158291,"מזנון צף אלונה ALONA רוחב 180 ס""מ",בהצדעה,מרהטים את הבית,269.0,378.0,29%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/158291
101161,מזנון 'אולימפוס' בשני גדלים מבית RAZCO,RAZCO,מרהטים את הבית,529.0,619.0,15%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/101161
171501,עגלת אחסון במבוק,בהצדעה,מרהטים את הבית,99.0,129.0,23%,מרהטים את הבית,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/171501
169510,רביעיית כיסאות בר 'פיניקס' מבית RAZCO,RAZCO,מרהטים את הבית,1019.0,1019.0,0%,מרהטים את הבית,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/169510
